step,env_0,env_1,env_2,env_4,Mean reward
0,1.0,1.0,0.2,1.0,0.8
1,1.0,1.0,0.2,1.0,0.8
2,1.0,1.0,0.2,1.0,0.8
3,1.0,1.0,0.2,1.0,0.8
4,1.0,1.0,0.2,1.0,0.8
5,1.0,1.0,0.2,1.0,0.8
6,1.0,1.0,0.2,1.0,0.8
7,1.0,1.0,0.2,1.0,0.8
8,1.0,1.0,0.2,1.0,0.8
9,1.0,1.0,0.2,1.0,0.8
10,2.0,1.0,0.2,1.0,1.05
11,2.0,2.0,0.2,1.0,1.3
12,2.0,2.0,0.2,1.0,1.3
13,2.0,2.0,0.2,1.0,1.3
14,2.0,2.0,0.2,2.0,1.55
15,2.0,2.0,0.2,2.0,1.55
16,2.0,2.0,0.2,2.0,1.55
17,2.0,2.0,0.2,2.0,1.55
18,2.0,2.0,0.2,2.0,1.55
19,2.0,2.0,0.2,2.0,1.55
20,2.0,2.0,0.2,2.0,1.55
21,2.0,2.0,0.2,2.0,1.55
22,2.0,2.0,0.2,2.0,1.55
23,2.0,2.0,0.2,2.0,1.55
24,2.0,2.0,0.2,2.0,1.55
25,2.0,2.0,0.2,2.0,1.55
26,2.0,2.0,0.2,2.0,1.55
27,2.0,2.0,0.2,2.0,1.55
28,2.0,2.0,0.2,2.0,1.55
29,2.0,2.0,0.2,2.0,1.55
30,2.0,2.0,0.2,2.0,1.55
31,2.0,2.0,0.2,2.0,1.55
32,2.0,2.0,0.2,2.0,1.55
33,2.0,2.0,0.2,2.0,1.55
34,2.0,2.0,0.2,2.0,1.55
35,2.0,2.0,0.2,2.0,1.55
36,2.0,2.0,0.2,2.0,1.55
37,2.0,2.0,0.2,2.0,1.55
38,2.0,2.0,0.2,2.0,1.55
39,2.0,2.0,0.2,2.0,1.55
40,2.0,2.0,0.2,2.0,1.55
41,2.0,2.0,0.2,2.0,1.55
42,2.0,2.0,0.2,2.0,1.55
43,3.0,2.0,0.2,2.0,1.8
44,3.0,3.0,0.2,2.0,2.05
45,3.0,3.0,0.2,2.0,2.05
46,3.0,3.0,0.2,2.0,2.05
47,3.0,3.0,0.2,2.0,2.05
48,3.0,3.0,0.2,2.0,2.05
49,3.0,3.0,0.2,2.0,2.05
50,3.0,3.0,0.2,2.0,2.05
51,3.0,4.0,0.2,2.0,2.3
52,4.0,4.0,0.2,3.0,2.8
53,4.0,4.0,0.2,3.0,2.8
54,4.0,4.0,0.2,3.0,2.8
55,4.0,4.0,0.2,3.0,2.8
56,4.0,4.0,0.2,3.0,2.8
57,4.0,4.0,0.2,3.0,2.8
58,4.0,4.0,0.2,3.0,2.8
59,4.0,4.0,0.2,3.0,2.8
60,4.0,4.0,0.2,3.0,2.8
61,4.0,4.0,0.2,3.0,2.8
62,4.0,4.0,0.2,3.0,2.8
63,4.0,4.0,0.2,3.0,2.8
64,4.0,4.0,0.2,3.0,2.8
65,4.0,4.0,0.2,3.0,2.8
66,4.0,4.0,0.2,3.0,2.8
67,4.0,4.0,0.2,3.0,2.8
68,5.0,4.0,0.2,3.0,3.05
69,5.0,4.0,0.2,3.0,3.05
70,5.0,4.0,0.2,3.0,3.05
71,5.0,5.0,0.2,3.0,3.3
72,5.0,5.0,0.2,3.0,3.3
73,5.0,5.0,0.2,3.0,3.3
74,5.0,5.0,0.2,3.0,3.3
75,5.0,5.0,0.2,3.0,3.3
76,5.0,5.0,0.2,3.0,3.3
77,5.0,5.0,0.2,3.0,3.3
78,5.0,5.0,0.2,3.0,3.3
79,5.0,5.0,0.2,3.0,3.3
80,5.0,5.0,0.2,3.0,3.3
81,5.0,5.0,0.2,3.0,3.3
82,5.0,5.0,0.2,3.0,3.3
83,5.0,5.0,0.2,3.0,3.3
84,5.0,5.0,0.2,3.0,3.3
85,5.0,5.0,0.2,3.0,3.3
86,5.0,5.0,0.2,3.0,3.3
87,5.0,5.0,0.2,3.0,3.3
88,5.0,5.0,0.2,3.0,3.3
89,5.0,5.0,0.2,3.0,3.3
90,5.0,5.0,0.2,3.0,3.3
91,5.0,5.0,0.2,3.0,3.3
92,5.0,5.0,0.2,3.0,3.3
93,5.0,5.0,0.2,3.0,3.3
94,5.0,5.0,0.2,3.0,3.3
95,5.0,5.0,0.2,3.0,3.3
96,5.0,5.0,0.2,3.0,3.3
97,5.0,5.0,0.2,3.0,3.3
98,6.0,5.0,0.2,3.0,3.55
99,6.0,5.0,0.2,3.0,3.55
100,6.0,5.0,0.2,3.0,3.55
101,6.0,5.0,0.2,3.0,3.55
102,7.0,7.0,0.2,4.0,4.55
103,7.0,7.0,0.2,5.0,4.8
104,7.0,7.0,0.2,5.0,4.8
105,7.0,7.0,0.2,5.0,4.8
106,7.0,7.0,0.2,5.0,4.8
107,7.0,7.0,0.2,5.0,4.8
108,7.0,7.0,0.2,5.0,4.8
109,7.0,7.0,0.2,5.0,4.8
110,7.0,7.0,0.2,5.0,4.8
111,7.0,7.0,0.2,5.0,4.8
112,7.0,7.0,0.2,5.0,4.8
113,7.0,7.0,0.2,5.0,4.8
114,7.0,7.0,0.2,5.0,4.8
115,7.0,8.0,0.2,5.0,5.05
116,7.0,8.0,0.2,5.0,5.05
117,7.0,8.0,0.2,5.0,5.05
118,7.0,8.0,0.2,5.0,5.05
119,7.0,8.0,0.2,5.0,5.05
120,7.0,8.0,0.2,5.0,5.05
121,7.0,8.0,0.2,5.0,5.05
122,7.0,8.0,0.2,5.0,5.05
123,7.0,8.0,0.2,6.0,5.3
124,7.0,8.0,0.2,6.0,5.3
125,8.0,8.0,0.2,6.0,5.55
126,8.0,8.0,0.2,6.0,5.55
127,8.0,8.0,0.2,6.0,5.55
128,8.0,9.0,0.2,6.0,5.8
129,9.0,9.0,0.2,6.0,6.05
130,9.0,9.0,0.2,6.0,6.05
131,9.0,9.0,0.2,6.0,6.05
132,9.0,9.0,0.2,6.0,6.05
133,9.0,9.0,0.2,6.0,6.05
134,9.0,9.0,0.2,6.0,6.05
135,9.0,9.0,0.2,6.0,6.05
136,9.0,9.0,0.2,6.0,6.05
137,9.0,9.0,0.2,6.0,6.05
138,9.0,9.0,0.2,6.0,6.05
