step,env_0,env_1,env_2,env_4,Mean reward
0,0.0,0.0,1.0,1.0,0.5
1,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0
10,2.0,1.0,1.0,2.0,1.5
11,2.0,2.0,2.0,2.0,2.0
12,2.0,2.0,2.0,2.0,2.0
13,2.0,2.0,2.0,2.0,2.0
14,2.0,2.0,2.0,2.0,2.0
15,2.0,2.0,2.0,2.0,2.0
16,2.0,2.0,2.0,2.0,2.0
17,2.0,2.0,2.0,2.0,2.0
18,2.0,2.0,2.0,2.0,2.0
19,2.0,2.0,2.0,2.0,2.0
20,2.0,2.0,2.0,2.0,2.0
21,2.0,2.0,2.0,2.0,2.0
22,2.0,2.0,2.0,2.0,2.0
23,2.0,2.0,2.0,2.0,2.0
24,2.0,2.0,2.0,2.0,2.0
25,2.0,2.0,2.0,2.0,2.0
26,2.0,2.0,2.0,2.0,2.0
27,2.0,2.0,2.0,2.0,2.0
28,2.0,2.0,2.0,2.0,2.0
29,2.0,2.0,2.0,2.0,2.0
30,2.0,2.0,2.0,2.0,2.0
31,2.0,2.0,2.0,2.0,2.0
32,2.0,2.0,2.0,2.0,2.0
33,2.0,2.0,2.0,2.0,2.0
34,2.0,2.0,2.0,2.0,2.0
35,2.0,2.0,2.0,2.0,2.0
36,2.0,2.0,2.0,2.0,2.0
37,2.0,2.0,2.0,2.0,2.0
38,2.0,2.0,2.0,2.0,2.0
39,2.0,2.0,2.0,2.0,2.0
40,3.0,2.0,2.0,2.0,2.25
41,3.0,2.0,2.0,3.0,2.5
42,3.0,3.0,2.0,3.0,2.75
43,3.0,3.0,2.0,3.0,2.75
44,3.0,3.0,3.0,3.0,3.0
45,3.0,3.0,3.0,3.0,3.0
46,3.0,3.0,3.0,3.0,3.0
47,3.0,3.0,3.0,3.0,3.0
48,3.0,3.0,3.0,3.0,3.0
49,3.0,3.0,3.0,3.0,3.0
50,3.0,3.0,4.0,4.0,3.5
51,4.0,4.0,4.0,4.0,4.0
52,4.0,4.0,4.0,4.0,4.0
53,4.0,4.0,4.0,4.0,4.0
54,4.0,4.0,4.0,4.0,4.0
55,4.0,4.0,4.0,4.0,4.0
56,4.0,4.0,4.0,4.0,4.0
57,4.0,4.0,4.0,4.0,4.0
58,4.0,4.0,4.0,4.0,4.0
59,4.0,4.0,4.0,4.0,4.0
60,5.0,4.0,4.0,4.0,4.25
61,5.0,4.0,4.0,5.0,4.5
62,5.0,4.0,4.0,5.0,4.5
63,5.0,5.0,4.0,5.0,4.75
64,5.0,5.0,4.0,6.0,5.0
65,5.0,5.0,5.0,6.0,5.25
66,5.0,5.0,5.0,6.0,5.25
67,6.0,5.0,5.0,6.0,5.5
68,6.0,5.0,5.0,6.0,5.5
69,6.0,5.0,5.0,6.0,5.5
70,6.0,5.0,5.0,6.0,5.5
71,6.0,5.0,5.0,6.0,5.5
72,6.0,5.0,5.0,6.0,5.5
73,6.0,5.0,5.0,6.0,5.5
74,6.0,5.0,5.0,6.0,5.5
75,6.0,5.0,5.0,6.0,5.5
76,6.0,5.0,5.0,6.0,5.5
77,6.0,5.0,5.0,6.0,5.5
78,6.0,5.0,5.0,6.0,5.5
79,6.0,5.0,5.0,6.0,5.5
80,6.0,5.0,5.0,6.0,5.5
81,6.0,5.0,5.0,6.0,5.5
82,6.0,5.0,5.0,6.0,5.5
83,6.0,5.0,5.0,6.0,5.5
84,6.0,5.0,5.0,6.0,5.5
85,6.0,5.0,5.0,6.0,5.5
86,6.0,5.0,5.0,6.0,5.5
87,6.0,5.0,5.0,6.0,5.5
88,6.0,5.0,5.0,6.0,5.5
89,6.0,5.0,5.0,6.0,5.5
90,7.0,5.0,5.0,6.0,5.75
91,7.0,5.0,5.0,7.0,6.0
92,7.0,5.0,5.0,7.0,6.0
93,7.0,6.0,5.0,7.0,6.25
94,7.0,6.0,5.0,7.0,6.25
95,7.0,6.0,5.0,7.0,6.25
96,7.0,6.0,5.0,8.0,6.5
97,7.0,6.0,6.0,8.0,6.75
98,7.0,6.0,6.0,8.0,6.75
99,7.0,6.0,6.0,8.0,6.75
100,7.0,6.0,6.0,9.0,7.0
101,9.0,7.0,7.0,9.0,8.0
102,9.0,7.0,7.0,9.0,8.0
103,9.0,7.0,7.0,9.0,8.0
104,9.0,7.0,7.0,9.0,8.0
105,9.0,7.0,7.0,9.0,8.0
106,9.0,7.0,7.0,9.0,8.0
107,9.0,7.0,7.0,9.0,8.0
108,9.0,7.0,7.0,9.0,8.0
109,9.0,7.0,7.0,9.0,8.0
110,10.0,7.0,7.0,9.2,8.3
111,10.0,7.0,7.0,9.2,8.3
112,10.0,8.0,7.0,10.2,8.8
113,10.0,9.0,7.0,10.2,9.05
114,10.0,9.0,7.0,10.2,9.05
115,10.2,9.0,7.0,10.2,9.1
116,10.2,9.0,7.0,10.2,9.1
117,10.2,9.0,7.0,10.2,9.1
118,10.2,9.0,8.0,10.2,9.35
119,10.2,9.0,8.0,10.2,9.35
120,10.2,9.0,8.0,10.2,9.35
121,10.2,9.0,8.0,10.2,9.35
122,10.2,9.0,8.0,10.2,9.35
