step,env_0,env_1,env_2,env_4,Mean reward
0,1.0,1.0,1.0,0.0,0.75
1,1.0,1.0,1.0,0.0,0.75
2,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0
10,2.0,2.0,2.0,2.0,2.0
11,2.0,2.0,2.0,2.0,2.0
12,2.0,2.0,2.0,2.0,2.0
13,2.0,2.0,2.0,2.0,2.0
14,2.0,2.0,2.0,2.0,2.0
15,2.0,2.0,2.0,2.0,2.0
16,2.0,2.0,2.0,2.0,2.0
17,2.0,2.0,2.0,2.0,2.0
18,2.0,2.0,2.0,2.0,2.0
19,2.0,2.0,2.0,2.0,2.0
20,2.0,2.0,2.0,2.0,2.0
21,2.0,2.0,2.0,2.0,2.0
22,2.0,2.0,2.0,2.0,2.0
23,2.0,2.0,2.0,2.0,2.0
24,2.0,2.0,2.0,2.0,2.0
25,2.0,2.0,2.0,2.0,2.0
26,2.0,2.0,2.0,2.0,2.0
27,2.0,2.0,2.0,2.0,2.0
28,2.0,2.0,2.0,2.0,2.0
29,2.0,2.0,2.0,2.0,2.0
30,2.0,2.0,2.0,2.0,2.0
31,2.0,2.0,2.0,2.0,2.0
32,2.0,2.0,2.0,2.0,2.0
33,2.0,2.0,2.0,2.0,2.0
34,2.0,2.0,2.0,2.0,2.0
35,2.0,2.0,2.0,2.0,2.0
36,2.0,2.0,2.0,2.0,2.0
37,2.0,2.0,2.0,2.0,2.0
38,2.0,2.0,2.0,2.0,2.0
39,2.0,2.0,2.0,2.0,2.0
40,2.0,3.0,2.0,2.0,2.25
41,2.0,3.0,2.0,2.0,2.25
42,2.0,3.0,3.0,3.0,2.75
43,3.0,3.0,3.0,3.0,3.0
44,3.0,3.0,3.0,3.0,3.0
45,3.0,3.0,3.0,3.0,3.0
46,3.0,3.0,3.0,3.0,3.0
47,3.0,3.0,3.0,3.0,3.0
48,3.0,3.0,3.0,3.0,3.0
49,3.0,3.0,3.0,3.0,3.0
50,4.0,4.0,4.0,3.0,3.75
51,4.0,4.0,4.0,3.0,3.75
52,4.0,4.0,4.0,3.0,3.75
53,4.0,4.0,4.0,4.0,4.0
54,4.0,4.0,4.0,4.0,4.0
55,4.0,4.0,4.0,4.0,4.0
56,4.0,4.0,4.0,4.0,4.0
57,4.0,4.0,4.0,4.0,4.0
58,4.0,4.0,4.0,4.0,4.0
59,4.0,4.0,4.0,4.0,4.0
60,4.0,5.0,4.0,4.0,4.25
61,4.0,5.0,4.0,4.0,4.25
62,4.0,5.0,5.0,6.0,5.0
63,5.0,5.0,5.0,6.0,5.25
64,5.0,5.0,5.0,6.0,5.25
65,5.0,5.0,5.0,6.0,5.25
66,5.0,5.0,5.0,6.0,5.25
67,5.0,5.0,5.0,6.0,5.25
68,5.0,5.0,5.0,6.0,5.25
69,5.0,5.0,5.0,6.0,5.25
70,5.0,5.0,5.0,6.0,5.25
71,5.0,5.0,5.0,6.0,5.25
72,5.0,5.0,5.0,6.0,5.25
73,5.0,5.0,5.0,6.0,5.25
74,5.0,5.0,5.0,6.0,5.25
75,5.0,5.0,5.0,6.0,5.25
76,5.0,5.0,5.0,6.0,5.25
77,5.0,5.0,5.0,6.0,5.25
78,5.0,5.0,5.0,6.0,5.25
79,5.0,5.0,5.0,6.0,5.25
80,5.0,5.0,5.0,6.0,5.25
81,5.0,5.0,5.0,6.0,5.25
82,5.0,5.0,5.0,6.0,5.25
83,5.0,5.0,5.0,6.0,5.25
84,5.0,5.0,5.0,6.0,5.25
85,5.0,6.0,5.0,6.0,5.5
86,5.0,6.0,5.0,6.0,5.5
87,5.0,6.0,5.0,6.0,5.5
88,5.0,6.0,5.0,6.0,5.5
89,5.0,6.0,5.0,6.0,5.5
90,5.0,6.0,5.0,6.0,5.5
91,5.0,7.0,5.0,6.0,5.75
92,5.0,7.0,5.0,7.0,6.0
93,6.0,7.0,6.0,7.0,6.5
94,6.0,7.0,6.0,7.0,6.5
95,6.0,7.0,6.0,7.0,6.5
96,6.0,7.0,6.0,7.0,6.5
97,6.0,7.0,6.0,7.0,6.5
98,6.0,7.0,6.0,7.0,6.5
99,6.0,7.0,6.0,7.0,6.5
100,7.0,8.0,7.0,7.0,7.25
101,7.0,8.0,7.0,7.0,7.25
102,7.0,8.0,7.0,7.0,7.25
103,7.0,8.0,7.0,7.2,7.3
104,7.0,8.0,7.0,7.2,7.3
105,7.0,8.0,7.0,7.2,7.3
106,7.0,8.0,7.0,7.2,7.3
107,7.0,8.0,7.0,7.2,7.3
108,7.0,8.0,7.0,7.2,7.3
109,8.0,8.0,7.0,7.2,7.55
110,8.0,8.0,7.0,7.2,7.55
111,8.0,9.0,8.0,7.2,8.05
112,8.0,9.0,8.0,8.2,8.3
113,9.0,9.0,9.0,8.2,8.8
114,9.0,9.0,9.0,8.2,8.8
115,9.0,10.0,9.0,8.2,9.05
116,9.0,10.0,9.0,8.2,9.05
117,9.0,10.0,9.0,8.2,9.05
118,9.0,10.0,9.0,8.2,9.05
119,9.0,10.0,9.0,8.2,9.05
120,9.0,10.0,9.0,8.2,9.05
121,9.0,10.0,9.0,8.2,9.05
122,9.0,10.0,9.0,8.2,9.05
123,9.0,10.0,10.0,8.2,9.3
124,9.0,10.0,10.0,8.2,9.3
125,9.0,10.2,10.0,8.2,9.35
126,9.0,10.2,10.0,8.2,9.35
127,9.0,10.2,10.0,8.2,9.35
128,9.0,10.2,10.0,8.2,9.35
129,9.0,10.2,10.0,8.2,9.35
130,9.0,10.2,10.0,8.2,9.35
131,9.0,10.2,10.0,8.2,9.35
132,9.0,10.2,10.0,8.2,9.35
133,9.0,10.2,10.0,8.2,9.35
134,9.0,10.2,10.0,8.2,9.35
135,9.0,10.2,10.0,8.2,9.35
136,9.0,10.2,10.0,8.2,9.35
137,9.0,10.2,10.0,8.2,9.35
138,9.0,10.2,10.0,8.2,9.35
139,9.0,10.2,10.0,8.2,9.35
140,10.0,10.2,10.0,8.2,9.6
141,10.0,10.2,10.0,8.2,9.6
142,10.0,10.2,11.0,9.2,10.1
143,10.0,11.2,11.0,9.2,10.350000000000001
144,11.0,11.2,11.0,9.2,10.600000000000001
145,11.0,11.2,11.0,9.2,10.600000000000001
146,11.0,11.2,11.0,9.2,10.600000000000001
147,11.0,11.2,11.0,9.2,10.600000000000001
148,11.0,11.2,11.0,9.2,10.600000000000001
149,11.0,11.2,11.0,9.2,10.600000000000001
150,12.0,12.2,11.0,9.2,11.100000000000001
151,12.0,12.2,12.0,9.2,11.350000000000001
152,12.0,12.2,12.0,9.2,11.350000000000001
153,12.0,13.2,12.0,9.2,11.600000000000001
154,12.0,13.2,12.0,10.2,11.850000000000001
155,12.0,13.2,12.0,10.2,11.850000000000001
156,12.0,13.2,12.0,10.2,11.850000000000001
157,12.0,13.2,12.0,10.2,11.850000000000001
158,12.0,13.2,12.0,10.2,11.850000000000001
159,12.0,13.2,12.0,10.2,11.850000000000001
160,13.0,13.2,12.0,10.2,12.100000000000001
161,13.0,13.2,12.0,10.2,12.100000000000001
162,13.0,13.2,13.0,10.2,12.350000000000001
163,13.0,14.2,13.0,11.2,12.850000000000001
