step,env_0,env_1,env_2,env_4,Mean reward
0,1.0,1.0,0.0,1.0,0.75
1,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0
10,2.0,2.0,1.0,2.0,1.75
11,2.0,2.0,2.0,2.0,2.0
12,2.0,2.0,2.0,2.0,2.0
13,2.0,2.0,2.0,2.0,2.0
14,2.0,2.0,2.0,2.0,2.0
15,2.0,2.0,2.0,2.0,2.0
16,2.0,2.0,2.0,2.0,2.0
17,2.0,2.0,2.0,2.0,2.0
18,2.0,2.0,2.0,2.0,2.0
19,2.0,2.0,2.0,2.0,2.0
20,2.0,2.0,2.0,2.0,2.0
21,2.0,2.0,2.0,2.0,2.0
22,2.0,2.0,2.0,2.0,2.0
23,2.0,2.0,2.0,2.0,2.0
24,2.0,2.0,2.0,2.0,2.0
25,2.0,2.0,2.0,2.0,2.0
26,2.0,2.0,2.0,2.0,2.0
27,2.0,2.0,2.0,2.0,2.0
28,2.0,2.0,2.0,2.0,2.0
29,2.0,2.0,2.0,2.0,2.0
30,2.0,2.0,2.0,2.0,2.0
31,2.0,2.0,2.0,2.0,2.0
32,2.0,2.0,2.0,2.0,2.0
33,2.0,2.0,2.0,2.0,2.0
34,2.0,2.0,2.0,2.0,2.0
35,2.0,2.0,2.0,2.0,2.0
36,2.0,2.0,2.0,2.0,2.0
37,2.0,2.0,2.0,2.0,2.0
38,2.0,2.0,2.0,2.0,2.0
39,2.0,2.0,2.0,2.0,2.0
40,3.0,2.0,2.0,3.0,2.5
41,3.0,2.0,3.0,3.0,2.75
42,3.0,2.0,3.0,3.0,2.75
43,3.0,2.0,3.0,3.0,2.75
44,3.0,2.0,3.0,3.0,2.75
45,3.0,3.0,3.0,3.0,3.0
46,3.0,3.0,3.0,3.0,3.0
47,3.0,3.0,3.0,3.0,3.0
48,3.0,3.0,3.0,3.0,3.0
49,3.0,3.0,3.0,3.0,3.0
50,3.2,4.0,3.0,4.0,3.55
51,3.2,4.0,4.0,4.0,3.8
52,3.2,4.0,4.0,4.0,3.8
53,3.2,4.0,4.0,4.0,3.8
54,3.2,4.0,4.0,4.0,3.8
55,3.2,4.0,4.0,4.0,3.8
56,3.2,4.0,4.0,4.0,3.8
57,3.2,4.0,4.0,4.0,3.8
58,3.2,4.0,4.0,4.0,3.8
59,3.2,4.0,4.0,4.0,3.8
60,3.2,4.0,4.0,5.0,4.05
61,4.2,4.0,5.0,5.0,4.55
62,4.2,4.0,5.0,6.0,4.8
63,4.2,4.0,5.0,6.0,4.8
64,4.2,4.0,5.0,6.0,4.8
65,4.2,5.0,5.0,6.0,5.05
66,4.2,5.0,5.0,6.0,5.05
67,4.2,5.0,5.0,6.0,5.05
68,4.2,5.0,5.0,6.0,5.05
69,4.2,5.0,5.0,6.0,5.05
70,4.2,5.0,5.0,6.0,5.05
71,4.2,5.0,5.0,6.0,5.05
72,4.2,5.0,5.0,6.0,5.05
73,4.2,5.0,5.0,6.0,5.05
74,4.2,5.0,5.0,6.0,5.05
75,4.2,5.0,5.0,6.0,5.05
76,4.2,5.0,5.0,6.0,5.05
77,4.2,5.0,5.0,6.0,5.05
78,4.2,5.0,5.0,6.0,5.05
79,4.2,5.0,5.0,6.0,5.05
80,4.2,5.0,5.0,6.0,5.05
81,4.2,5.0,5.0,6.0,5.05
82,4.2,5.0,5.0,6.0,5.05
83,4.2,5.0,5.0,6.0,5.05
84,4.2,5.0,5.0,6.0,5.05
85,4.2,5.0,5.0,6.0,5.05
86,4.2,5.0,5.0,6.0,5.05
87,4.2,5.0,5.0,6.0,5.05
88,4.2,5.0,5.0,6.0,5.05
89,4.2,5.0,5.0,6.0,5.05
90,4.2,5.0,5.0,6.0,5.05
91,4.2,5.0,5.0,6.0,5.05
92,4.2,5.0,5.0,7.0,5.3
93,5.2,5.0,6.0,7.0,5.8
94,5.2,5.0,6.0,8.0,6.05
95,5.2,5.0,6.0,8.0,6.05
96,5.2,5.0,6.0,8.0,6.05
97,5.2,6.0,6.0,8.0,6.3
98,5.2,6.0,6.0,8.0,6.3
99,5.2,6.0,6.0,8.0,6.3
100,5.2,7.0,6.0,9.0,6.8
101,5.2,7.0,7.0,9.0,7.05
102,5.2,7.0,7.0,9.0,7.05
103,6.2,7.0,7.0,9.0,7.3
104,6.2,7.0,7.0,9.0,7.3
105,6.2,7.0,7.0,9.0,7.3
106,6.2,7.0,7.0,9.0,7.3
107,6.2,7.0,7.0,9.0,7.3
108,6.2,7.0,7.0,9.0,7.3
109,6.2,7.0,7.0,9.0,7.3
110,6.2,7.0,7.0,9.0,7.3
111,6.2,7.0,7.0,9.0,7.3
112,6.2,7.0,7.0,9.0,7.3
113,7.2,7.0,7.0,10.0,7.8
114,7.2,7.0,8.0,10.0,8.05
115,7.2,7.0,8.0,11.2,8.35
116,7.2,7.0,8.0,11.2,8.35
117,7.2,7.0,8.0,11.2,8.35
118,7.2,8.0,8.0,11.2,8.6
119,7.2,8.0,8.0,11.2,8.6
120,7.2,8.0,8.0,11.2,8.6
121,7.2,8.0,8.0,11.2,8.6
122,7.2,8.0,8.0,11.2,8.6
123,7.2,8.0,8.0,11.2,8.6
124,7.2,8.0,8.0,11.2,8.6
125,7.2,8.0,8.0,11.2,8.6
126,7.2,8.0,8.0,11.2,8.6
127,7.2,8.0,8.0,11.2,8.6
128,7.2,8.0,8.0,11.2,8.6
129,7.2,8.0,8.0,11.2,8.6
130,7.2,8.0,8.0,11.2,8.6
131,7.2,8.0,8.0,11.2,8.6
132,7.2,8.0,8.0,11.2,8.6
133,7.2,8.0,8.0,11.2,8.6
134,7.2,8.0,8.0,11.2,8.6
135,7.2,8.0,8.0,11.2,8.6
136,7.2,8.0,8.0,11.2,8.6
137,7.2,8.0,8.0,11.2,8.6
138,7.2,8.0,8.0,11.2,8.6
139,7.2,8.0,8.0,11.2,8.6
140,7.2,8.0,9.0,11.2,8.85
141,7.2,8.0,9.0,11.2,8.85
142,7.2,8.0,9.0,11.2,8.85
143,8.2,8.0,9.0,12.2,9.35
144,8.2,8.0,9.0,12.2,9.35
145,8.2,8.0,10.0,12.2,9.6
146,8.2,8.0,10.0,12.2,9.6
147,8.2,8.0,10.0,12.2,9.6
148,8.2,8.0,10.0,12.2,9.6
149,8.2,8.0,10.0,12.2,9.6
150,8.2,10.0,10.0,12.2,10.1
151,8.2,10.0,11.0,12.2,10.35
152,8.2,10.0,11.0,12.2,10.35
153,9.2,10.0,11.0,12.2,10.6
154,9.2,10.0,11.0,12.2,10.6
155,9.399999999999999,10.0,11.0,12.2,10.649999999999999
156,9.399999999999999,10.0,11.0,13.2,10.899999999999999
157,9.399999999999999,10.0,11.0,13.2,10.899999999999999
158,9.399999999999999,10.0,11.0,13.2,10.899999999999999
159,9.399999999999999,10.0,11.0,13.2,10.899999999999999
160,9.399999999999999,11.0,11.0,13.2,11.149999999999999
161,9.399999999999999,11.0,11.0,13.2,11.149999999999999
162,9.399999999999999,11.0,11.0,13.2,11.149999999999999
163,9.399999999999999,11.0,11.0,14.2,11.399999999999999
164,9.399999999999999,11.0,11.0,14.2,11.399999999999999
165,10.399999999999999,11.0,12.0,14.2,11.899999999999999
166,10.399999999999999,11.0,12.0,14.2,11.899999999999999
167,10.399999999999999,12.0,12.0,14.2,12.149999999999999
168,10.399999999999999,12.0,12.0,14.2,12.149999999999999
169,10.399999999999999,12.0,12.0,14.2,12.149999999999999
