step,env_0,env_1,env_2,env_4,Mean reward
0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0
10,2.0,2.0,2.0,2.0,2.0
11,2.0,2.0,2.0,2.0,2.0
12,2.0,2.0,2.0,2.0,2.0
13,2.0,2.0,2.0,2.0,2.0
14,2.0,2.0,2.0,2.0,2.0
15,2.0,2.0,2.0,2.0,2.0
16,2.0,2.0,2.0,2.0,2.0
17,2.0,2.0,2.0,2.0,2.0
18,2.0,2.0,2.0,2.0,2.0
19,2.0,2.0,2.0,2.0,2.0
20,2.0,2.0,2.0,2.0,2.0
21,2.0,2.0,2.0,2.0,2.0
22,2.0,2.0,2.0,2.0,2.0
23,2.0,2.0,2.0,2.0,2.0
24,2.0,2.0,2.0,2.0,2.0
25,2.0,2.0,2.0,2.0,2.0
26,2.0,2.0,2.0,2.0,2.0
27,2.0,2.0,2.0,2.0,2.0
28,2.0,2.0,2.0,2.0,2.0
29,2.0,2.0,2.0,2.0,2.0
30,2.0,2.0,2.0,2.0,2.0
31,2.0,2.0,2.0,2.0,2.0
32,2.0,2.0,2.0,2.0,2.0
33,2.0,2.0,2.0,2.0,2.0
34,2.0,2.0,2.0,2.0,2.0
35,2.0,2.0,2.0,2.0,2.0
36,2.0,2.0,2.0,2.0,2.0
37,2.0,2.0,2.0,2.0,2.0
38,2.0,2.0,2.0,2.0,2.0
39,2.0,2.0,2.0,2.0,2.0
40,3.0,2.0,2.0,3.0,2.5
41,3.0,2.0,3.0,3.0,2.75
42,3.0,3.0,3.0,3.0,3.0
43,3.0,3.0,3.0,3.0,3.0
44,3.0,3.0,3.0,3.0,3.0
45,3.0,3.0,3.0,3.0,3.0
46,3.0,3.0,3.0,3.0,3.0
47,3.0,3.0,3.0,3.0,3.0
48,3.0,3.0,3.0,3.0,3.0
49,3.0,3.0,3.0,3.0,3.0
50,3.2,3.0,4.0,4.0,3.55
51,3.2,4.0,4.0,4.0,3.8
52,3.2,4.0,4.0,4.0,3.8
53,3.2,4.0,4.0,4.0,3.8
54,3.2,4.0,4.0,4.0,3.8
55,3.2,4.0,4.0,4.0,3.8
56,3.2,4.0,4.0,4.0,3.8
57,3.2,4.0,4.0,4.0,3.8
58,3.2,4.0,4.0,4.0,3.8
59,3.2,4.0,4.0,4.0,3.8
60,4.2,4.0,4.0,6.0,4.55
61,4.2,4.0,5.0,6.0,4.8
62,4.2,5.0,5.0,6.0,5.05
63,4.2,5.0,5.0,6.0,5.05
64,4.2,5.0,5.0,6.0,5.05
65,4.2,5.0,5.0,6.0,5.05
66,4.2,5.0,5.0,6.0,5.05
67,4.2,5.0,5.0,6.0,5.05
68,4.2,5.0,5.0,6.0,5.05
69,4.2,5.0,5.0,6.0,5.05
70,4.2,5.0,5.0,6.0,5.05
71,4.2,5.0,5.0,6.0,5.05
72,4.2,5.0,5.0,6.0,5.05
73,4.2,5.0,5.0,6.0,5.05
74,4.2,5.0,5.0,6.0,5.05
75,4.2,5.0,5.0,6.0,5.05
76,4.2,5.0,5.0,6.0,5.05
77,4.2,5.0,5.0,6.0,5.05
78,4.2,5.0,5.0,6.0,5.05
79,4.2,5.0,5.0,6.0,5.05
80,4.2,5.0,5.0,6.0,5.05
81,4.2,5.0,5.0,6.0,5.05
82,4.2,5.0,5.0,6.0,5.05
83,4.2,5.0,5.0,6.0,5.05
84,4.2,5.0,5.0,6.0,5.05
85,4.2,5.0,5.0,6.0,5.05
86,4.2,5.0,5.0,6.0,5.05
87,4.2,5.0,5.0,6.0,5.05
88,4.2,5.0,5.0,6.0,5.05
89,4.2,5.0,5.0,6.0,5.05
90,4.2,5.0,5.0,8.0,5.55
91,4.2,5.0,6.0,8.0,5.8
92,4.2,6.0,6.0,8.0,6.05
93,5.2,6.0,6.0,8.0,6.3
94,5.2,6.0,6.0,8.0,6.3
95,5.2,6.0,6.0,8.0,6.3
96,5.2,6.0,6.0,8.0,6.3
97,5.2,6.0,6.0,8.0,6.3
98,5.2,6.0,6.0,8.0,6.3
99,5.2,6.0,6.0,8.0,6.3
100,5.2,6.0,7.0,9.2,6.85
101,5.2,7.0,7.0,9.2,7.1
102,5.2,7.0,7.0,9.2,7.1
103,6.2,7.0,7.0,9.2,7.35
104,6.2,7.0,7.0,9.2,7.35
105,6.2,7.0,7.0,9.2,7.35
106,6.2,7.0,7.0,9.2,7.35
107,6.2,7.0,7.0,9.2,7.35
108,6.2,7.0,7.0,9.2,7.35
109,6.2,7.0,7.0,9.2,7.35
110,6.2,7.0,7.0,11.2,7.85
111,6.2,8.0,8.0,11.2,8.35
112,6.2,9.0,8.0,11.2,8.6
113,6.2,9.0,8.0,11.2,8.6
114,7.2,9.0,8.0,11.2,8.85
115,7.2,9.0,8.0,11.2,8.85
116,7.2,9.0,8.0,11.2,8.85
117,7.2,9.0,8.0,11.2,8.85
118,7.2,9.0,8.0,11.2,8.85
119,7.2,9.0,8.0,11.2,8.85
120,7.2,9.0,8.0,11.2,8.85
121,7.2,9.0,8.0,11.2,8.85
122,7.2,9.0,8.0,11.2,8.85
123,7.2,9.0,8.0,11.2,8.85
124,7.2,9.0,8.0,11.2,8.85
125,7.2,9.0,8.0,11.2,8.85
126,7.2,9.0,8.0,11.2,8.85
127,7.2,9.0,8.0,11.2,8.85
128,7.2,9.0,8.0,11.2,8.85
129,7.2,9.0,8.0,11.2,8.85
130,7.2,10.0,8.0,11.2,9.1
131,7.2,10.0,8.0,11.2,9.1
132,7.2,10.0,8.0,11.2,9.1
