step,env_0,env_1,env_2,env_4,Mean reward
0,1.0,1.0,0.0,1.0,0.75
1,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0
10,2.0,2.0,2.0,2.0,2.0
11,2.0,2.0,2.0,2.0,2.0
12,2.0,2.0,2.0,2.0,2.0
13,2.0,2.0,2.0,2.0,2.0
14,2.0,2.0,2.0,2.0,2.0
15,2.0,2.0,2.0,2.0,2.0
16,2.0,2.0,2.0,2.0,2.0
17,2.0,2.0,2.0,2.0,2.0
18,2.0,2.0,2.0,2.0,2.0
19,2.0,2.0,2.0,2.0,2.0
20,2.0,2.0,2.0,2.0,2.0
21,2.0,2.0,2.0,2.0,2.0
22,2.0,2.0,2.0,2.0,2.0
23,2.0,2.0,2.0,2.0,2.0
24,2.0,2.0,2.0,2.0,2.0
25,2.0,2.0,2.0,2.0,2.0
26,2.0,2.0,2.0,2.0,2.0
27,2.0,2.0,2.0,2.0,2.0
28,2.0,2.0,2.0,2.0,2.0
29,2.0,2.0,2.0,2.0,2.0
30,2.0,2.0,2.0,2.0,2.0
31,2.0,2.0,2.0,2.0,2.0
32,2.0,2.0,2.0,2.0,2.0
33,2.0,2.0,2.0,2.0,2.0
34,2.0,2.0,2.0,2.0,2.0
35,2.0,2.0,2.0,2.0,2.0
36,2.0,2.0,2.0,2.0,2.0
37,2.0,2.0,2.0,2.0,2.0
38,2.0,2.0,2.0,2.0,2.0
39,2.0,2.0,2.0,2.0,2.0
40,3.0,2.0,3.0,3.0,2.75
41,3.0,2.0,3.0,3.0,2.75
42,3.0,3.0,3.0,3.0,3.0
43,3.0,3.0,3.0,3.0,3.0
44,3.0,3.0,3.0,3.0,3.0
45,3.0,3.0,3.0,3.0,3.0
46,3.0,3.0,3.0,3.0,3.0
47,3.0,3.0,3.0,3.0,3.0
48,3.0,3.0,3.0,3.0,3.0
49,3.0,3.0,3.0,3.0,3.0
50,4.0,4.0,3.0,4.0,3.75
51,4.0,4.0,4.0,4.0,4.0
52,4.0,4.0,4.0,4.0,4.0
53,4.0,4.0,4.0,4.0,4.0
54,4.0,4.0,4.0,4.0,4.0
55,4.0,4.0,4.0,4.0,4.0
56,4.0,4.0,4.0,4.0,4.0
57,4.0,4.0,4.0,4.0,4.0
58,4.0,4.0,4.0,4.0,4.0
59,4.0,4.0,4.0,4.0,4.0
60,5.0,4.0,4.0,5.0,4.5
61,5.0,5.0,5.0,5.0,5.0
62,5.0,6.0,5.0,6.0,5.5
63,5.0,6.0,5.0,6.0,5.5
64,5.0,6.0,6.0,6.0,5.75
65,5.0,6.0,6.0,6.0,5.75
66,5.0,6.0,6.0,6.0,5.75
67,5.0,6.0,6.0,6.0,5.75
68,5.0,6.0,6.0,6.0,5.75
69,5.0,6.0,6.0,6.0,5.75
70,5.0,6.0,6.0,6.0,5.75
71,5.0,6.0,6.0,6.0,5.75
72,5.0,6.0,6.0,6.0,5.75
73,5.0,6.0,6.0,6.0,5.75
74,5.0,6.0,6.0,6.0,5.75
75,5.0,6.0,6.0,6.0,5.75
76,5.0,6.0,6.0,6.0,5.75
77,5.0,6.0,6.0,6.0,5.75
78,5.0,6.0,6.0,6.0,5.75
79,5.0,6.0,6.0,6.0,5.75
80,5.0,6.0,6.0,6.0,5.75
81,5.0,6.0,6.0,6.0,5.75
82,5.0,6.0,6.0,6.0,5.75
83,5.0,6.0,6.0,6.0,5.75
84,5.0,6.0,6.0,6.0,5.75
85,6.0,6.0,6.0,6.0,6.0
86,6.0,6.0,6.0,6.0,6.0
87,6.0,6.0,6.0,6.0,6.0
88,6.0,6.0,6.0,6.0,6.0
89,6.0,6.0,6.0,6.0,6.0
90,7.0,6.0,6.0,7.0,6.5
91,7.0,7.0,7.0,7.0,7.0
92,7.0,8.0,7.0,7.0,7.25
93,7.0,8.0,7.0,8.0,7.5
94,7.0,8.0,8.0,8.0,7.75
95,7.0,8.0,8.0,8.0,7.75
96,7.0,8.0,8.0,8.0,7.75
97,7.0,8.0,8.0,8.0,7.75
98,7.0,8.0,8.0,8.0,7.75
99,7.0,8.0,8.0,8.0,7.75
100,8.0,9.0,8.0,9.0,8.5
101,8.0,9.0,9.0,9.0,8.75
102,8.0,9.0,9.0,9.0,8.75
103,8.0,9.0,9.0,9.0,8.75
104,8.0,9.2,9.0,9.0,8.8
105,8.0,9.2,9.0,9.0,8.8
106,8.0,9.2,9.0,9.0,8.8
107,8.0,9.2,9.2,9.0,8.85
108,8.0,9.2,9.2,9.0,8.85
109,8.0,9.2,9.2,9.0,8.85
110,9.0,9.2,9.2,10.0,9.35
111,9.0,9.2,10.2,10.2,9.649999999999999
112,9.0,10.2,10.2,10.2,9.899999999999999
113,9.0,10.2,10.2,10.2,9.899999999999999
114,9.0,10.2,10.2,11.2,10.149999999999999
115,9.0,10.2,10.2,11.2,10.149999999999999
116,9.0,10.2,10.2,11.2,10.149999999999999
117,9.0,10.2,10.2,11.2,10.149999999999999
118,9.0,10.2,10.2,11.2,10.149999999999999
119,9.0,10.2,10.2,11.2,10.149999999999999
120,9.0,10.2,10.2,11.2,10.149999999999999
121,9.0,10.2,10.2,11.2,10.149999999999999
122,9.0,10.2,10.2,11.2,10.149999999999999
123,9.0,10.2,10.2,11.2,10.149999999999999
124,9.0,10.2,10.2,11.2,10.149999999999999
125,10.0,10.2,10.2,11.2,10.399999999999999
126,10.0,10.2,10.2,11.2,10.399999999999999
127,10.0,10.2,10.2,11.2,10.399999999999999
128,10.0,10.2,10.2,11.2,10.399999999999999
129,10.0,10.2,10.2,11.2,10.399999999999999
130,10.0,10.2,10.2,11.2,10.399999999999999
131,10.0,10.2,10.2,11.2,10.399999999999999
132,10.0,10.2,10.2,11.2,10.399999999999999
133,10.0,10.2,10.2,11.2,10.399999999999999
134,10.0,10.2,10.2,11.2,10.399999999999999
135,10.0,10.2,10.2,11.2,10.399999999999999
136,10.0,10.2,10.2,11.2,10.399999999999999
137,10.0,10.2,10.2,11.2,10.399999999999999
138,10.2,10.2,10.2,11.2,10.45
139,10.2,10.2,10.2,11.2,10.45
140,10.2,10.2,11.2,11.2,10.7
141,10.2,10.2,12.2,12.2,11.2
142,10.2,10.2,12.2,12.2,11.2
143,10.2,11.2,12.2,12.2,11.45
144,10.2,11.2,12.2,12.2,11.45
145,11.2,11.2,12.2,12.2,11.7
146,11.2,11.2,12.2,12.2,11.7
147,11.2,11.2,12.2,12.2,11.7
148,11.2,11.2,12.2,13.2,11.95
149,11.2,11.2,12.2,13.2,11.95
150,11.2,11.2,12.2,13.2,11.95
151,11.2,11.2,13.2,13.2,12.2
152,11.2,11.2,13.2,13.2,12.2
153,11.2,12.2,13.2,13.2,12.45
154,11.2,12.2,13.2,13.2,12.45
155,11.2,12.2,13.2,13.2,12.45
156,11.2,12.2,13.2,13.2,12.45
157,11.2,12.2,13.2,13.2,12.45
158,11.2,12.2,13.2,13.2,12.45
159,11.2,12.2,13.2,13.2,12.45
160,12.2,12.2,13.2,13.2,12.7
161,12.2,12.2,14.2,14.2,13.2
162,13.2,12.2,14.2,14.2,13.45
163,13.2,13.2,14.2,14.2,13.7
164,13.2,13.2,14.2,15.2,13.95
165,13.2,13.2,14.2,15.2,13.95
166,13.2,13.2,14.2,15.2,13.95
167,13.2,13.2,14.2,15.2,13.95
168,13.2,13.2,14.2,15.2,13.95
169,13.2,13.2,14.2,15.2,13.95
170,13.2,13.2,14.2,15.2,13.95
