step,env_0,env_1,env_2,env_4,Mean reward
0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0
10,2.0,2.0,2.0,2.0,2.0
11,2.0,2.0,2.0,2.0,2.0
12,2.0,2.0,2.0,2.0,2.0
13,2.0,2.0,2.0,2.0,2.0
14,2.0,2.0,2.0,2.0,2.0
15,2.0,2.0,2.0,2.0,2.0
16,2.0,2.0,2.0,2.0,2.0
17,2.0,2.0,2.0,2.0,2.0
18,2.0,2.0,2.0,2.0,2.0
19,2.0,2.0,2.0,2.0,2.0
20,2.0,2.0,2.0,2.0,2.0
21,2.0,2.0,2.0,2.0,2.0
22,2.0,2.0,2.0,2.0,2.0
23,2.0,2.0,2.0,2.0,2.0
24,2.0,2.0,2.0,2.0,2.0
25,2.0,2.0,2.0,2.0,2.0
26,2.0,2.0,2.0,2.0,2.0
27,2.0,2.0,2.0,2.0,2.0
28,2.0,2.0,2.0,2.0,2.0
29,2.0,2.0,2.0,2.0,2.0
30,2.0,2.0,2.0,2.0,2.0
31,2.0,2.0,2.0,2.0,2.0
32,2.0,2.0,2.0,2.0,2.0
33,2.0,2.0,2.0,2.0,2.0
34,2.0,2.0,2.0,2.0,2.0
35,2.0,2.0,2.0,2.0,2.0
36,2.0,2.0,2.0,2.0,2.0
37,2.0,2.0,2.0,2.0,2.0
38,2.0,2.0,2.0,2.0,2.0
39,2.0,2.0,2.0,2.0,2.0
40,2.0,2.0,2.0,2.0,2.0
41,2.0,2.0,3.0,3.0,2.5
42,2.0,2.0,3.0,3.0,2.5
43,2.0,2.0,3.0,3.0,2.5
44,2.0,3.0,3.0,3.0,2.75
45,2.0,3.0,3.0,3.0,2.75
46,2.0,3.0,3.0,3.0,2.75
47,2.0,3.0,3.0,3.0,2.75
48,2.0,3.0,3.0,3.0,2.75
49,2.0,3.0,3.0,3.0,2.75
50,3.0,4.0,4.0,4.0,3.75
51,3.0,4.0,4.0,4.0,3.75
52,3.0,4.0,4.0,4.0,3.75
53,3.0,4.0,4.0,4.0,3.75
54,3.0,4.0,4.0,4.0,3.75
55,3.0,4.0,4.0,4.0,3.75
56,3.0,4.0,4.0,4.0,3.75
57,3.0,4.0,4.0,4.0,3.75
58,3.0,4.0,4.0,4.0,3.75
59,3.0,4.0,4.0,4.0,3.75
60,3.0,4.0,4.0,5.0,4.0
61,3.0,4.0,4.0,6.0,4.25
62,3.0,4.0,5.0,6.0,4.5
63,3.0,4.0,5.0,6.0,4.5
64,3.0,5.0,5.0,6.0,4.75
65,4.0,5.0,5.0,6.0,5.0
66,4.0,5.0,5.0,6.0,5.0
67,4.0,5.0,5.0,6.0,5.0
68,4.0,5.0,5.0,6.0,5.0
69,4.0,5.0,5.0,6.0,5.0
70,4.0,5.0,5.0,6.0,5.0
71,4.0,5.0,5.0,6.0,5.0
72,4.0,5.0,5.0,6.0,5.0
73,4.0,5.0,5.0,6.0,5.0
74,4.0,5.0,5.0,6.0,5.0
75,4.0,5.0,5.0,6.0,5.0
76,4.0,5.0,5.0,6.0,5.0
77,4.0,5.0,5.0,6.0,5.0
78,4.0,5.0,5.0,6.0,5.0
79,4.0,5.0,5.0,6.0,5.0
80,4.0,5.0,5.0,6.0,5.0
81,4.0,5.0,5.0,6.0,5.0
82,4.0,5.0,5.0,6.0,5.0
83,4.0,5.0,5.0,6.0,5.0
84,4.0,5.0,5.0,6.0,5.0
85,5.0,5.0,5.0,6.0,5.25
86,5.0,5.0,5.0,6.0,5.25
87,5.0,5.0,5.0,6.0,5.25
88,5.0,5.0,5.0,6.0,5.25
89,5.0,5.0,5.0,6.0,5.25
90,5.0,5.0,5.0,6.0,5.25
91,5.0,5.0,5.0,7.0,5.5
92,5.0,5.0,5.0,7.0,5.5
93,5.0,5.0,6.0,7.0,5.75
94,5.0,6.0,6.0,7.0,6.0
95,5.0,6.0,6.0,7.0,6.0
96,5.0,6.0,6.0,7.0,6.0
97,5.0,6.0,6.0,7.0,6.0
98,5.0,6.0,6.0,7.0,6.0
99,5.0,6.0,6.0,7.0,6.0
100,6.0,7.0,7.0,8.0,7.0
101,6.0,7.0,7.0,8.0,7.0
102,6.0,7.0,7.0,8.0,7.0
103,6.0,7.0,7.0,8.0,7.0
104,6.0,7.0,7.0,8.0,7.0
105,6.0,7.0,7.0,8.0,7.0
106,6.0,7.0,7.0,8.0,7.0
107,6.0,7.0,7.0,8.0,7.0
108,6.0,7.0,7.0,8.0,7.0
109,6.0,7.0,7.0,8.0,7.0
110,6.0,8.0,7.0,8.0,7.25
111,6.0,8.0,8.0,9.0,7.75
112,6.0,8.0,8.0,9.0,7.75
113,6.0,8.0,9.0,9.0,8.0
114,6.0,9.0,9.0,9.0,8.25
115,7.0,9.0,9.0,9.0,8.5
116,7.0,9.0,9.0,9.0,8.5
117,7.0,9.0,9.0,9.0,8.5
118,7.0,9.0,9.0,9.0,8.5
119,7.0,9.0,9.0,9.0,8.5
120,7.0,9.0,9.0,9.0,8.5
121,7.0,9.0,9.0,9.0,8.5
122,7.0,9.0,9.0,9.0,8.5
123,7.0,9.0,9.0,9.0,8.5
124,7.0,9.0,9.0,9.0,8.5
125,7.0,9.0,9.0,9.0,8.5
126,7.0,9.0,9.0,9.0,8.5
127,7.0,9.0,9.0,9.0,8.5
128,7.0,9.0,9.0,9.0,8.5
129,7.0,9.0,9.0,9.0,8.5
130,7.0,9.0,9.0,9.0,8.5
131,7.0,10.0,9.0,10.0,9.0
132,7.0,10.0,9.0,10.0,9.0
