step,env_0,env_1,env_2,env_4,Mean reward
0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0
10,2.0,2.0,2.0,2.0,2.0
11,2.0,2.0,2.0,2.0,2.0
12,2.0,2.0,2.0,2.0,2.0
13,2.0,2.0,2.0,2.0,2.0
14,2.0,2.0,2.0,2.0,2.0
15,2.0,2.0,2.0,2.0,2.0
16,2.0,2.0,2.0,2.0,2.0
17,2.0,2.0,2.0,2.0,2.0
18,2.0,2.0,2.0,2.0,2.0
19,2.0,2.0,2.0,2.0,2.0
20,2.0,2.0,2.0,2.0,2.0
21,2.0,2.0,2.0,2.0,2.0
22,2.0,2.0,2.0,2.0,2.0
23,2.0,2.0,2.0,2.0,2.0
24,2.0,2.0,2.0,2.0,2.0
25,2.0,2.0,2.0,2.0,2.0
26,2.0,2.0,2.0,2.0,2.0
27,2.0,2.0,2.0,2.0,2.0
28,2.0,2.0,2.0,2.0,2.0
29,2.0,2.0,2.0,2.0,2.0
30,2.0,2.0,2.0,2.0,2.0
31,2.0,2.0,2.0,2.0,2.0
32,2.0,2.0,2.0,2.0,2.0
33,2.0,2.0,2.0,2.0,2.0
34,2.0,2.0,2.0,2.0,2.0
35,2.0,2.0,2.0,2.0,2.0
36,2.0,2.0,2.0,2.0,2.0
37,2.0,2.0,2.0,2.0,2.0
38,2.0,2.0,2.0,2.0,2.0
39,2.0,2.0,2.0,2.0,2.0
40,2.0,3.0,3.0,3.0,2.75
41,2.0,3.0,3.0,3.0,2.75
42,3.0,3.0,3.0,3.0,3.0
43,3.0,3.0,3.0,3.0,3.0
44,3.0,3.0,3.0,3.0,3.0
45,3.0,3.0,3.0,3.0,3.0
46,3.0,3.0,3.0,3.0,3.0
47,3.0,3.0,3.0,3.0,3.0
48,3.0,3.0,3.0,3.0,3.0
49,3.0,3.0,3.0,3.0,3.0
50,4.0,4.0,4.0,4.0,4.0
51,4.0,4.0,4.0,4.0,4.0
52,4.0,4.0,4.0,4.0,4.0
53,4.0,4.0,4.0,4.0,4.0
54,4.0,4.0,4.0,4.0,4.0
55,4.0,4.0,4.0,4.0,4.0
56,4.0,4.0,4.0,4.0,4.0
57,4.0,4.0,4.0,4.0,4.0
58,4.0,4.0,4.0,4.0,4.0
59,4.0,4.0,4.0,4.0,4.0
60,4.0,5.0,4.0,4.0,4.25
61,4.0,5.0,5.0,5.0,4.75
62,4.0,5.0,5.0,5.0,4.75
63,5.0,5.0,5.0,5.0,5.0
64,5.0,5.0,5.0,5.0,5.0
65,5.0,5.0,5.0,5.0,5.0
66,5.0,5.0,5.0,5.0,5.0
67,5.0,5.0,5.0,5.0,5.0
68,5.0,5.0,5.0,5.0,5.0
69,5.0,5.0,5.0,5.0,5.0
70,5.0,5.0,5.0,5.0,5.0
71,5.0,5.0,5.0,5.0,5.0
72,5.0,5.0,5.0,5.0,5.0
73,5.0,5.0,5.0,5.0,5.0
74,5.0,5.0,5.0,5.0,5.0
75,5.0,5.0,5.0,5.0,5.0
76,5.0,5.0,5.0,5.0,5.0
77,5.0,5.0,5.0,5.0,5.0
78,5.0,5.0,5.0,5.0,5.0
79,5.0,5.0,5.0,5.0,5.0
80,5.0,5.0,5.0,5.0,5.0
81,5.0,5.0,5.0,5.0,5.0
82,5.0,5.0,5.0,5.0,5.0
83,5.0,5.0,5.0,5.0,5.0
84,5.0,5.0,5.0,5.0,5.0
85,5.0,5.0,5.0,5.0,5.0
86,5.0,5.0,5.0,5.0,5.0
87,5.0,5.0,5.0,5.0,5.0
88,5.0,5.0,5.0,5.0,5.0
89,5.0,5.0,5.0,5.0,5.0
90,5.0,6.0,5.0,5.0,5.25
91,5.0,6.0,5.0,5.0,5.25
92,5.0,6.0,6.0,5.0,5.5
93,6.0,6.0,6.0,5.0,5.75
94,6.0,6.0,6.0,5.0,5.75
95,6.0,6.0,6.0,6.0,6.0
96,6.0,6.0,6.0,6.0,6.0
97,6.0,6.0,6.0,6.0,6.0
98,6.0,6.0,6.0,6.0,6.0
99,6.0,6.0,6.0,6.0,6.0
100,7.0,7.0,7.0,7.0,7.0
101,7.0,7.0,7.0,7.0,7.0
102,7.0,7.0,7.0,7.0,7.0
103,7.0,7.0,7.0,7.0,7.0
104,7.0,7.0,7.0,7.0,7.0
105,7.0,7.0,7.0,7.0,7.0
106,7.0,7.0,7.0,7.0,7.0
107,7.0,7.0,7.0,7.0,7.0
108,7.0,7.0,7.0,7.0,7.0
109,7.0,7.0,7.0,7.0,7.0
110,8.0,9.0,8.0,7.0,8.0
111,8.0,9.0,8.0,7.0,8.0
112,8.0,9.0,8.0,7.0,8.0
113,9.0,9.0,9.0,7.0,8.5
114,9.0,9.0,9.0,7.0,8.5
115,9.0,9.0,9.0,8.0,8.75
116,9.0,9.0,9.0,8.0,8.75
117,9.0,9.0,9.0,8.0,8.75
118,9.0,9.0,9.0,8.0,8.75
119,9.0,9.0,9.0,8.0,8.75
120,9.0,9.0,9.0,8.0,8.75
121,9.0,9.0,9.0,8.0,8.75
122,9.0,9.0,9.0,8.0,8.75
123,9.0,9.0,9.0,8.0,8.75
124,9.0,9.0,9.0,8.0,8.75
125,9.0,9.0,9.0,8.0,8.75
126,9.0,9.0,9.0,8.0,8.75
127,9.0,9.0,9.0,8.0,8.75
128,9.0,9.0,9.0,8.0,8.75
129,9.0,9.0,9.0,8.0,8.75
130,9.0,10.0,10.0,8.0,9.25
131,9.0,10.0,10.0,8.0,9.25
132,9.0,10.0,10.0,8.0,9.25
