step,env_0,env_1,env_2,env_4,Mean reward
0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0
10,1.0,2.0,2.0,2.0,1.75
11,1.0,2.0,2.0,2.0,1.75
12,1.0,2.0,2.0,2.0,1.75
13,1.0,2.0,2.0,2.0,1.75
14,1.0,2.0,2.0,2.0,1.75
15,1.0,2.0,2.0,2.0,1.75
16,1.0,2.0,2.0,2.0,1.75
17,1.0,2.0,2.0,2.0,1.75
18,1.0,2.0,2.0,2.0,1.75
19,1.0,2.0,2.0,2.0,1.75
20,1.0,2.0,2.0,2.0,1.75
21,1.0,2.0,2.0,2.0,1.75
22,1.0,2.0,2.0,2.0,1.75
23,1.0,2.0,2.0,2.0,1.75
24,1.0,2.0,2.0,2.0,1.75
25,1.0,2.0,2.0,2.0,1.75
26,1.0,2.0,2.0,2.0,1.75
27,1.0,2.0,2.0,2.0,1.75
28,1.0,2.0,2.0,2.0,1.75
29,1.0,2.0,2.0,2.0,1.75
30,1.0,2.0,2.0,2.0,1.75
31,2.0,2.0,2.0,2.0,2.0
32,2.0,2.0,2.0,2.0,2.0
33,2.0,2.0,2.0,2.0,2.0
34,2.0,2.0,2.0,2.0,2.0
35,2.0,2.0,2.0,2.0,2.0
36,2.0,2.0,2.0,2.0,2.0
37,2.0,2.0,2.0,2.0,2.0
38,2.0,2.0,2.0,2.0,2.0
39,2.0,2.0,2.0,2.0,2.0
40,2.0,2.0,2.0,2.0,2.0
41,2.0,3.0,2.0,2.0,2.25
42,2.0,3.0,2.0,3.0,2.5
43,2.0,3.0,3.0,3.0,2.75
44,2.0,3.0,3.0,3.0,2.75
45,2.0,3.0,3.0,3.0,2.75
46,2.0,3.0,3.0,3.0,2.75
47,2.0,3.0,3.0,3.0,2.75
48,2.0,3.0,3.0,3.0,2.75
49,2.0,3.0,3.0,3.0,2.75
50,3.0,4.0,4.0,4.0,3.75
51,3.0,4.0,4.0,4.0,3.75
52,3.0,4.0,4.0,4.0,3.75
53,3.0,4.0,4.0,4.0,3.75
54,3.0,4.0,4.0,4.0,3.75
55,3.0,4.0,4.0,4.0,3.75
56,3.0,4.0,4.0,4.0,3.75
57,3.0,4.0,4.0,4.0,3.75
58,3.0,4.0,4.0,4.0,3.75
59,3.0,4.0,4.0,4.0,3.75
60,3.0,4.0,4.0,4.0,3.75
61,3.0,4.0,4.0,4.0,3.75
62,3.0,5.0,4.0,5.0,4.25
63,4.0,5.0,5.0,5.0,4.75
64,4.0,5.0,5.0,5.0,4.75
65,4.0,5.0,5.0,5.0,4.75
66,4.0,5.0,5.0,5.0,4.75
67,4.0,5.0,5.0,5.0,4.75
68,4.0,5.0,5.0,5.0,4.75
69,4.0,5.0,5.0,5.0,4.75
70,4.0,5.0,5.0,5.0,4.75
71,4.0,5.0,5.0,5.0,4.75
72,4.0,5.0,5.0,5.0,4.75
73,4.0,5.0,5.0,5.0,4.75
74,4.0,5.0,5.0,5.0,4.75
75,4.0,5.0,5.0,5.0,4.75
76,4.0,5.0,5.0,5.0,4.75
77,4.0,5.0,5.0,5.0,4.75
78,4.0,5.0,5.0,5.0,4.75
79,4.0,5.0,5.0,5.0,4.75
80,4.0,5.0,5.0,5.0,4.75
81,4.0,5.0,5.0,5.0,4.75
82,4.0,5.0,5.0,5.0,4.75
83,4.0,5.0,5.0,5.0,4.75
84,5.0,5.0,5.0,5.0,5.0
85,5.0,5.0,5.0,5.0,5.0
86,5.0,5.0,5.0,5.0,5.0
87,5.0,5.0,5.0,5.0,5.0
88,5.0,5.0,5.0,5.0,5.0
89,5.0,5.0,5.0,5.0,5.0
90,5.0,5.0,5.0,5.0,5.0
91,5.0,5.0,5.0,5.0,5.0
92,5.0,5.0,5.0,6.0,5.25
93,5.0,6.0,5.0,6.0,5.5
94,5.0,6.0,5.0,6.0,5.5
95,5.0,6.0,5.0,6.0,5.5
96,5.0,6.0,6.0,6.0,5.75
97,5.0,6.0,6.0,6.0,5.75
98,5.0,6.0,6.0,6.0,5.75
99,5.0,6.0,6.0,6.0,5.75
100,6.0,7.0,7.0,7.0,6.75
101,6.0,7.0,7.0,7.0,6.75
102,6.0,7.0,7.0,7.0,6.75
103,6.0,7.0,7.0,7.0,6.75
104,6.0,7.0,7.0,7.0,6.75
105,6.0,7.0,7.0,7.0,6.75
106,6.0,7.0,7.0,7.0,6.75
107,6.0,7.0,7.0,7.0,6.75
108,6.0,7.0,7.0,7.0,6.75
109,6.0,7.0,7.0,7.0,6.75
110,6.0,7.0,7.0,7.0,6.75
111,6.0,7.0,7.0,7.0,6.75
112,6.0,7.0,7.0,8.0,7.0
113,6.0,7.0,7.0,8.0,7.0
114,7.0,8.0,7.0,8.0,7.5
115,7.0,8.0,7.0,8.0,7.5
116,7.0,8.0,8.0,8.0,7.75
117,7.0,8.0,8.0,8.0,7.75
118,7.0,8.0,8.0,8.0,7.75
119,7.0,8.0,8.0,8.0,7.75
120,7.0,8.0,8.0,8.0,7.75
121,7.0,8.0,8.0,8.0,7.75
122,7.0,8.0,8.0,8.0,7.75
123,7.0,8.0,8.0,8.0,7.75
124,7.0,8.0,8.0,8.0,7.75
125,7.0,8.0,8.0,8.0,7.75
126,7.0,8.0,8.0,8.0,7.75
127,7.0,8.0,8.0,8.0,7.75
128,7.0,8.0,8.0,8.0,7.75
129,7.0,8.0,8.0,8.0,7.75
130,7.0,8.0,8.0,8.0,7.75
131,7.0,8.0,8.0,8.0,7.75
132,7.0,8.0,8.0,8.0,7.75
