env_0,env_1,env_2,env_3,Mean Reward
4.0,4.0,0.0,1.0,2.25
1.0,-1.0,4.0,0.0,1.0
-8.8,-1.0,4.0,-8.8,-3.6500000000000004
4.0,2.0,0.0,-8.8,-0.7000000000000002
-1.0,-8.8,-1.0,-9.8,-5.15
-8.8,3.0,14.0,-9.8,-0.40000000000000036
-1.0,0.0,1.0,-7.8,-1.95
7.0,4.0,2.0,3.0,4.0
4.0,10.0,6.0,2.0,5.5
5.0,2.0,8.599999999999998,1.0,4.1499999999999995
-8.8,-7.8,0.0,10.0,-1.6500000000000004
3.0,0.0,10.0,6.0,4.75
13.0,5.0,-1.0,7.0,6.0
1.0,3.0,24.0,18.0,11.5
-3.0,1.0,-7.8,14.0,1.0499999999999998
13.0,17.0,3.0,3.0,9.0
18.0,1.1999999999999993,-7.8,3.3999999999999986,3.6999999999999993
16.0,14.0,3.0,8.0,10.25
-4.8,3.0,3.0,8.399999999999999,2.3999999999999995
4.0,1.0,10.0,5.0,5.0
-6.8,4.0,4.0,2.0,0.8
6.0,8.0,10.0,9.0,8.25
8.2,-8.8,5.399999999999999,-7.8,-0.7500000000000007
4.399999999999999,6.0,4.0,13.399999999999999,6.949999999999999
-7.8,10.399999999999999,17.0,0.3999999999999986,4.999999999999999
11.0,23.0,8.399999999999999,6.0,12.1
11.0,7.0,28.4,12.0,14.6
22.200000000000003,6.199999999999999,19.4,3.3999999999999986,12.799999999999999
7.399999999999999,12.0,21.2,16.2,14.2
26.400000000000006,2.3999999999999986,16.599999999999998,8.2,13.400000000000002
11.399999999999999,3.0,18.4,4.199999999999999,9.25
8.399999999999999,8.399999999999999,14.399999999999999,10.599999999999998,10.45
6.0,11.399999999999999,6.199999999999999,3.3999999999999986,6.749999999999999
2.1999999999999993,19.4,14.0,7.399999999999999,10.749999999999998
11.2,8.2,10.2,10.399999999999999,10.0
11.399999999999999,6.399999999999999,15.399999999999999,-6.8,6.599999999999999
15.399999999999999,100.2,7.399999999999999,10.399999999999999,33.35
3.3999999999999986,4.399999999999999,5.199999999999999,12.2,6.299999999999999
2.1999999999999993,5.0,4.199999999999999,15.399999999999999,6.699999999999999
8.399999999999999,22.4,51.00000000000001,19.4,25.300000000000004
18.599999999999998,30.200000000000003,70.2,12.599999999999998,32.9
8.399999999999999,8.2,17.4,10.2,11.05
20.599999999999998,8.2,55.2,20.599999999999998,26.15
27.200000000000003,16.599999999999998,10.399999999999999,7.0,15.299999999999999
16.599999999999998,37.2,12.999999999999996,8.599999999999998,18.849999999999998
6.399999999999999,7.399999999999999,11.599999999999998,19.4,11.2
14.399999999999999,35.2,14.2,20.599999999999998,21.099999999999998
12.399999999999999,5.199999999999999,11.0,27.0,13.899999999999999
10.599999999999998,11.399999999999999,9.399999999999999,10.399999999999999,10.45
23.799999999999997,2.3999999999999986,12.399999999999999,16.4,13.749999999999998
20.799999999999997,17.599999999999998,12.799999999999997,11.799999999999997,15.749999999999996
14.2,24.6,14.2,11.599999999999998,16.15
15.399999999999999,11.599999999999998,32.2,48.4,26.9
15.0,15.399999999999999,10.999999999999996,53.2,23.65
1.3999999999999986,14.599999999999998,10.599999999999998,10.399999999999999,9.249999999999998
9.399999999999999,7.599999999999998,71.2,56.2,36.1
11.599999999999998,10.0,17.799999999999997,14.599999999999998,13.499999999999996
20.799999999999997,49.2,25.4,10.599999999999998,26.5
15.999999999999996,31.4,39.400000000000006,12.599999999999998,24.849999999999998
-7.8,2.3999999999999986,12.799999999999997,21.4,7.199999999999998
62.2,48.2,11.799999999999997,14.399999999999999,34.15
20.4,19.799999999999997,30.200000000000003,22.4,23.200000000000003
25.6,20.599999999999998,6.9999999999999964,9.399999999999999,15.65
19.999999999999996,5.399999999999999,12.399999999999999,28.799999999999997,16.65
17.4,18.799999999999997,11.799999999999997,12.799999999999997,15.199999999999998
14.399999999999999,50.4,42.2,15.999999999999996,30.75
6.399999999999999,30.200000000000003,23.200000000000003,79.4,34.800000000000004
6.199999999999999,17.4,11.599999999999998,105.2,35.1
54.60000000000001,23.799999999999997,6.599999999999998,24.200000000000003,27.3
39.2,12.599999999999998,13.0,15.599999999999998,20.099999999999998
28.60000000000001,23.200000000000003,38.60000000000001,19.599999999999998,27.500000000000004
27.400000000000006,19.4,11.399999999999999,10.599999999999998,17.2
35.2,60.400000000000006,14.399999999999999,7.199999999999999,29.3
10.399999999999999,16.2,18.599999999999998,9.599999999999998,13.7
32.2,15.599999999999998,70.2,16.199999999999996,33.55
102.2,16.4,25.6,14.599999999999998,39.699999999999996
61.2,33.80000000000001,11.399999999999999,69.2,43.900000000000006
80.4,78.4,38.4,23.599999999999994,55.2
15.399999999999999,69.4,29.4,26.799999999999997,35.25
53.599999999999994,60.400000000000006,71.2,45.2,57.599999999999994
37.2,20.2,6.199999999999999,18.4,20.5
49.2,16.599999999999998,75.2,48.20000000000002,47.300000000000004
19.4,19.599999999999998,11.999999999999996,69.4,30.1
68.2,60.60000000000001,31.800000000000004,15.599999999999998,44.050000000000004
18.0,74.4,52.20000000000002,15.599999999999998,40.050000000000004
17.799999999999997,44.60000000000001,31.200000000000003,96.2,47.45
24.0,27.4,16.4,18.599999999999998,21.599999999999998
94.4,21.799999999999997,45.2,25.4,46.7
28.6,16.799999999999997,28.200000000000003,24.0,24.4
90.4,13.599999999999998,7.599999999999998,74.4,46.5
4.399999999999999,13.399999999999999,24.400000000000006,9.399999999999999,12.9
26.4,18.4,24.4,50.4,29.9
17.799999999999997,23.6,39.80000000000001,32.400000000000006,28.400000000000006
11.399999999999999,21.4,23.6,-3.8,13.15
17.2,52.2,20.599999999999998,16.799999999999997,26.7
28.799999999999997,70.6,16.4,65.2,45.25
16.599999999999998,19.599999999999998,37.80000000000001,34.599999999999994,27.15
16.4,32.6,19.599999999999998,13.399999999999999,20.5
21.2,59.60000000000001,28.799999999999997,17.4,31.75
27.799999999999997,20.799999999999997,17.799999999999997,51.2,29.4
12.599999999999998,23.60000000000001,72.2,15.799999999999997,31.05
25.800000000000004,96.4,28.599999999999994,93.2,61.0
11.399999999999999,39.6,28.799999999999997,16.4,24.049999999999997
9.399999999999999,21.2,30.200000000000003,11.399999999999999,18.049999999999997
12.399999999999999,89.2,17.599999999999998,10.599999999999998,32.449999999999996
24.4,61.2,16.2,77.2,44.75
20.599999999999998,21.599999999999998,15.399999999999999,28.4,21.5
13.399999999999999,20.599999999999998,6.399999999999999,21.599999999999998,15.5
34.599999999999994,20.799999999999997,23.4,28.599999999999994,26.849999999999994
16.4,28.200000000000003,20.599999999999998,32.800000000000004,24.5
51.2,19.599999999999998,16.4,24.200000000000003,27.849999999999998
20.599999999999998,15.399999999999999,15.399999999999999,24.4,18.95
23.6,34.60000000000001,20.799999999999997,54.400000000000006,33.35
23.599999999999994,22.6,20.599999999999998,23.4,22.549999999999997
22.799999999999997,31.0,18.599999999999998,18.599999999999998,22.749999999999996
12.399999999999999,27.6,18.2,21.599999999999998,19.95
19.4,36.4,19.4,26.200000000000003,25.349999999999998
24.799999999999997,9.2,21.599999999999998,12.0,16.9
23.799999999999997,53.2,17.2,19.4,28.4
8.2,54.2,29.000000000000007,18.599999999999998,27.5
25.400000000000006,23.4,59.2,51.4,39.85
20.599999999999998,12.2,9.399999999999999,38.60000000000001,20.200000000000003
33.80000000000001,30.60000000000001,19.2,22.599999999999994,26.550000000000004
16.599999999999998,15.599999999999998,23.60000000000001,35.400000000000006,22.800000000000004
48.80000000000001,22.599999999999994,30.799999999999997,15.999999999999996,29.55
19.2,20.799999999999997,28.80000000000001,21.4,22.550000000000004
55.400000000000006,23.4,34.800000000000004,13.399999999999999,31.750000000000007
35.6,15.2,20.2,12.399999999999999,20.85
22.4,76.4,75.2,15.399999999999999,47.35
20.4,17.0,11.399999999999999,16.4,16.299999999999997
-1.8000000000000007,25.4,20.599999999999998,17.799999999999997,15.499999999999998
20.2,41.2,36.4,28.0,31.450000000000003
21.599999999999998,19.799999999999997,45.80000000000001,22.4,27.4
32.2,28.6,21.4,8.399999999999999,22.65
13.2,17.2,38.4,23.200000000000003,23.0
23.599999999999994,59.2,24.400000000000006,20.4,31.9
23.200000000000003,48.4,31.200000000000003,12.399999999999999,28.799999999999997
55.400000000000006,24.200000000000003,27.200000000000003,-8.8,24.500000000000004
41.2,33.2,33.400000000000006,15.2,30.750000000000004
28.400000000000006,39.2,40.400000000000006,12.599999999999998,30.150000000000002
20.599999999999998,24.799999999999997,24.200000000000003,24.400000000000006,23.5
34.2,39.80000000000001,33.60000000000001,27.6,33.800000000000004
21.4,60.2,18.4,27.4,31.85
19.4,12.799999999999997,29.400000000000006,25.200000000000003,21.700000000000003
40.60000000000001,27.400000000000006,16.599999999999998,47.60000000000001,33.050000000000004
16.4,27.200000000000003,28.6,53.2,31.35
53.60000000000001,39.400000000000006,60.400000000000006,20.2,43.400000000000006
53.60000000000001,24.6,24.4,40.80000000000001,35.85000000000001
11.2,43.60000000000001,93.2,56.2,51.05
32.4,35.2,33.2,66.2,41.75
65.80000000000001,33.2,48.60000000000001,19.2,41.7
27.400000000000006,25.6,51.60000000000001,53.60000000000001,39.55000000000001
63.2,31.400000000000006,25.200000000000003,19.0,34.7
48.60000000000001,27.800000000000004,51.400000000000006,51.60000000000001,44.85000000000001
29.400000000000006,42.2,55.0,64.4,47.75
37.60000000000001,45.400000000000006,70.2,26.400000000000006,44.900000000000006
25.400000000000006,28.60000000000001,36.599999999999994,54.400000000000006,36.25
61.400000000000006,30.800000000000004,23.0,14.599999999999998,32.45
48.60000000000001,23.200000000000003,51.400000000000006,44.400000000000006,41.900000000000006
30.60000000000001,23.599999999999994,27.400000000000006,61.2,35.7
25.60000000000001,39.60000000000001,35.60000000000001,46.2,36.75000000000001
47.400000000000006,25.6,23.400000000000006,54.400000000000006,37.7
25.400000000000006,48.400000000000006,52.000000000000014,32.400000000000006,39.55000000000001
22.4,8.399999999999999,51.80000000000001,50.60000000000001,33.300000000000004
57.400000000000006,23.0,53.2,18.4,38.00000000000001
59.80000000000001,46.400000000000006,59.2,15.0,45.10000000000001
40.2,48.2,54.2,54.0,49.150000000000006
27.400000000000006,57.80000000000001,62.2,26.200000000000003,43.400000000000006
20.4,49.000000000000014,19.4,36.599999999999994,31.35
20.799999999999997,40.2,52.0,27.200000000000003,35.05
76.4,26.400000000000006,22.0,65.60000000000001,47.60000000000001
23.400000000000006,50.2,23.4,21.2,29.55
28.200000000000003,17.2,16.2,57.2,29.700000000000003
35.400000000000006,50.400000000000006,30.400000000000006,47.0,40.800000000000004
64.2,38.0,36.60000000000001,59.2,49.5
29.200000000000003,37.2,25.200000000000003,20.2,27.950000000000003
53.400000000000006,55.2,52.60000000000001,25.200000000000003,46.60000000000001
41.80000000000001,25.200000000000003,28.6,23.4,29.750000000000007
29.60000000000001,30.200000000000003,30.200000000000003,14.599999999999998,26.150000000000002
36.60000000000001,55.60000000000001,27.400000000000006,54.60000000000001,43.55000000000001
49.400000000000006,49.80000000000001,53.4,57.000000000000014,52.400000000000006
24.200000000000003,13.2,28.80000000000001,25.400000000000006,22.900000000000006
24.6,28.6,56.400000000000006,40.2,37.45
37.400000000000006,23.60000000000001,30.60000000000001,55.2,36.7
3.1999999999999993,24.60000000000001,26.200000000000003,31.400000000000006,21.350000000000005
41.2,46.60000000000001,33.800000000000004,24.599999999999994,36.550000000000004
